link(1, 2).
link(2, 3).
link(3, 4).
link(4, 5).
link(5, 6).
link(6, 7).
link(7, 8).
link(8, 9).
link(9, 10).
link(10, 11).
link(11, 12).
link(12, 13).
link(13, 14).
link(14, 15).
link(15, 16).
link(16, 17).
link(17, 18).
link(18, 19).
link(19, 20).
link(20, 21).
link(21, 22).
link(22, 23).
link(23, 24).
link(24, 25).
link(25, 26).
link(26, 27).
link(27, 28).
link(28, 29).
link(29, 30).
link(30, 31).
link(31, 32).
link(32, 33).
link(33, 34).
link(34, 35).
link(35, 36).
link(36, 37).
link(37, 38).
link(38, 39).
link(39, 40).
link(40, 41).
link(41, 42).
link(42, 43).
link(43, 44).
link(44, 45).
link(45, 46).
link(46, 47).
link(47, 48).
link(48, 49).
link(49, 50).
link(50, 51).
link(51, 52).
link(52, 53).
link(53, 54).
link(54, 55).
link(55, 56).
link(56, 57).
link(57, 58).
link(58, 59).
link(59, 60).
link(60, 61).
link(61, 62).
link(62, 63).
link(63, 64).
link(64, 65).
link(65, 66).
link(66, 67).
link(67, 68).
link(68, 69).
link(69, 70).
link(70, 71).
link(71, 72).
link(72, 73).
link(73, 74).
link(74, 75).
link(75, 76).
link(76, 77).
link(77, 78).
link(78, 79).
link(79, 80).
link(80, 81).
link(81, 82).
link(82, 83).
link(83, 84).
link(84, 85).
link(85, 86).
link(86, 87).
link(87, 88).
link(88, 89).
link(89, 90).
link(90, 91).
link(91, 92).
link(92, 93).
link(93, 94).
link(94, 95).
link(95, 96).
link(96, 97).
link(97, 98).
link(98, 99).
link(99, 100).
link(100, 101).
link(101, 102).
link(102, 103).
link(103, 104).
link(104, 105).
link(105, 106).
link(106, 107).
link(107, 108).
link(108, 109).
link(109, 110).
link(110, 111).
link(111, 112).
link(112, 113).
link(113, 114).
link(114, 115).
link(115, 116).
link(116, 117).
link(117, 118).
link(118, 119).
link(119, 120).
link(120, 121).
link(121, 122).
link(122, 123).
link(123, 124).
link(124, 125).
link(125, 126).
link(126, 127).
link(127, 128).
link(128, 129).
link(129, 130).
link(130, 131).
link(131, 132).
link(132, 133).
link(133, 134).
link(134, 135).
link(135, 136).
link(136, 137).
link(137, 138).
link(138, 139).
link(139, 140).
link(140, 141).
link(141, 142).
link(142, 143).
link(143, 144).
link(144, 145).
link(145, 146).
link(146, 147).
link(147, 148).
link(148, 149).
link(149, 150).
link(150, 151).
link(151, 152).
link(152, 153).
link(153, 154).
link(154, 155).
link(155, 156).
link(156, 157).
link(157, 158).
link(158, 159).
link(159, 160).
link(160, 161).
link(161, 162).
link(162, 163).
link(163, 164).
link(164, 165).
link(165, 166).
link(166, 167).
link(167, 168).
link(168, 169).
link(169, 170).
link(170, 171).
link(171, 172).
link(172, 173).
link(173, 174).
link(174, 175).
link(175, 176).
link(176, 177).
link(177, 178).
link(178, 179).
link(179, 180).
link(180, 181).
link(181, 182).
link(182, 183).
link(183, 184).
link(184, 185).
link(185, 186).
link(186, 187).
link(187, 188).
link(188, 189).
link(189, 190).
link(190, 191).
link(191, 192).
link(192, 193).
link(193, 194).
link(194, 195).
link(195, 196).
link(196, 197).
link(197, 198).
link(198, 199).
link(199, 200).
link(200, 201).

reachable(X, Y) :- link(X, Y).
reachable(X, Y) :- link(X, Z), reachable(Z,Y).
